Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
279,IUPUI,Horz,-9.41,96.7,272,106.1,264,72.2,43,278,-9.41,96.6,271,106.0
280,Columbia,Ivy,-9.43,95.1,306,104.5,226,69.9,137,279,-9.42,95.0,306,104.4
281,Wagner,NEC,-9.48,97.1,264,106.5,280,64.5,342,280,-9.48,97.0,263,106.5
282,Florida Gulf Coast,ASun,-9.51,95.1,305,104.6,228,69.2,168,281,-9.51,95.0,305,104.5
283,Morgan St.,MEAC,-9.53,97.0,266,106.5,278,72.5,36,282,-9.53,96.9,266,106.4
284,Seattle,WAC,-9.56,96.0,284,105.6,261,68.4,217,285,-9.68,95.9,283,105.5
285,Boston University,Pat,-9.62,98.4,234,108.0,306,67.9,236,283,-9.61,98.3,235,107.9
286,Quinnipiac,MAAC,-9.66,92.1,334,101.8,165,70.2,120,284,-9.66,92.1,333,101.7
287,Cal St. Northridge,BW,-9.69,100.2,204,109.9,328,71.8,56,287,-9.79,100.1,205,109.9
288,William & Mary,CAA,-9.79,97.9,249,107.6,299,68.2,224,286,-9.79,97.8,249,107.6
289,St. Francis NY,NEC,-9.93,96.4,277,106.3,272,73.1,26,288,-9.92,96.3,278,106.2
290,Green Bay,Horz,-10.08,100.6,190,110.7,334,67.7,245,289,-10.09,100.6,190,110.6
291,Arkansas St.,SB,-10.12,98.4,235,108.5,314,70.6,104,291,-10.29,98.2,238,108.5
292,North Florida,ASun,-10.17,101.6,167,111.8,343,67.7,246,290,-10.12,101.6,166,111.7
293,Florida A&M,MEAC,-10.45,94.2,313,104.7,232,69.1,177,292,-10.44,94.2,312,104.6
294,Fairleigh Dickinson,NEC,-10.75,100.5,196,111.3,340,71.2,75,295,-10.75,100.5,194,111.2
295,Portland,WCC,-10.83,94.1,316,104.9,242,74.2,15,296,-10.84,94.0,316,104.8
296,Cal Baptist,WAC,-10.91,99.4,213,110.3,330,69.7,146,297,-10.90,99.3,214,110.2
297,The Citadel,SC,-11.07,102.2,161,113.2,349,78.1,1,298,-10.97,102.5,150,113.5
298,Prairie View A&M,SWAC,-11.11,93.3,324,104.4,221,69.9,135,293,-10.57,92.5,330,103.0
299,Troy,SB,-11.18,92.4,332,103.5,202,66.5,296,299,-11.16,92.3,332,103.5
300,Jacksonville,ASun,-11.39,93.8,318,105.2,253,68.4,214,300,-11.38,93.8,318,105.1
301,Longwood,BSth,-11.52,95.2,302,106.8,284,65.4,318,301,-11.53,95.0,304,106.6
302,Tennessee St.,OVC,-11.59,91.6,337,103.2,191,70.6,105,302,-11.57,91.5,336,103.1
303,New Orleans,Slnd,-11.66,97.1,262,108.7,316,70.9,86,303,-11.65,97.0,262,108.6
304,North Dakota,Sum,-11.78,92.9,327,104.7,235,67.3,266,304,-11.78,92.8,327,104.6
305,Cal St. Fullerton,BW,-11.81,93.0,326,104.9,239,71.9,52,305,-11.82,93.0,326,104.8
306,Louisiana Monroe,SB,-11.87,94.4,309,106.2,271,67.4,262,307,-11.93,94.3,309,106.3
307,Portland St.,BSky,-11.88,95.8,286,107.7,302,72.7,32,306,-11.87,95.7,286,107.6
308,Rider,MAAC,-12.17,98.9,223,111.0,338,68.2,226,308,-12.11,98.8,225,110.9
